te,en,hi,_te_TG
<h1>,,,<h1>
పాఠం 22:,Lesson 22:,पाठ 22:,పాఠం 22:
ఏం చేస్తున్నావు?,What are you doing?,क्या कर रहे हो?,ఏం చేస్తున్నావు?
,,,
గోపి:,Gopi:,गोपी:,గోపి:
రవీ!,Ravi!,रवि!,రవీ!
ఇక్కడేం చేస్తున్నావు?,What are you doing here?,यहाँ क्या कर रहे हो?,ఇక్కడేం చేస్తున్నావు?
,,,
రవి:,Ravi:,रवि:,రవి:
మామిడి పళ్లు కోస్తున్నాను.,I am cutting mangoes.,आम काट रहा हूँ।,మామిడి పళ్లు కోస్తున్నాను.
ఏమిటి ఆ సంచీ?,What is that bag?,क्या है वह थैला?,ఏమిటి ఆ సంచీ?
అందులో ఏముంది?,What is in it?,उस में क्या है?,అందులో ఏముంది?
,,,
గోపి:,Gopi:,गोपी:,గోపి:
ఏమీలేదు.,Nothing.,कुछ नहीं।,ఏమీలేదు.
ఖాళీ సంచీ.,Empty bag.,खाली थैला है।,ఖాళీ సంచీ.
నాకు గూడా ఒక పండు ఇవ్వు.,Give me a fruit too.,मुझे भी एक फल दो।,నాకు గూడా ఒక పండు ఇవ్వు.
,,,
రవి:,Ravi:,रवि:,రవి:
తీసుకో!,Take it!,लो!,తీసుకో!
నువ్వు బైటికి వెళ్తున్నవా?,Are you going out?,तुम बाहर जा रहे हो क्या?,నువ్వు బైటికి వెళ్తున్నవా?
,,,
గోపి:,Gopi:,गोपी:,గోపి:
లేదు.,No.,नहीं।,లేదు.
అదుగో చూడు!,Look there!,वह देखो!,అదుగో చూడు!
ఆ పండు చాలా బాగుంది.,That fruit is very good.,वह फल बहुत अच्छा है।,ఆ పండు చాలా బాగుంది.
అది కొయ్యి.,Cut that.,वह काटो।,అది కొయ్యి.
ఏమిటి బ్లేడు తో కోస్తూన్నావా?,What? Are you cutting with a blade?,क्या? ब्लेड से काट रहे हो?,ఏమిటి బ్లేడు తో కోస్తూన్నావా?
కత్తి ఉంది కదా!,There is a knife!,"चाकू है, नहीं?",కత్తి ఉంది కదా!
,,,
రవి:,Ravi:,रवि:,రవి:
కత్తికి పదును లేదు.,Knife doesn't have sharpness.,चाकू तेज नहीं है।,కత్తికి పదును లేదు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
మీ తమ్ముడు లోపల ఏం చేస్తున్నాడు?,What is your brother doing inside?,आप का (छोटा) भाई अंदर क्या कर रहा है?,మీ తమ్ముడు లోపల ఏం చేస్తున్నాడు?
,,,
రవి:,Ravi:,रवि:,రవి:
హరికి ఉత్తరం రాస్తున్నాడు.,He is writing a letter to Hari.,हरि को पत्र लिख रहा है।,హరికి ఉత్తరం రాస్తున్నాడు.
తలుపు కొట్టు.,Knock on the door.,दरवाज़ा खटखटाओ।,తలుపు కొట్టు.
వాడు నీ కోసమే ఎదురు చూస్తున్నాడు.,He is waiting for you only.,वह तुम्हारा ही इंतज़ार कर रहा है।,వాడు నీ కోసమే ఎదురు చూస్తున్నాడు.
వాడి దగ్గర హరి అడ్రసు లేదు.,He doesn't have Hari's address.,उसके पास हरि का पता नहीं है।,వాడి దగ్గర హరి అడ్రసు లేదు.
,,,
బాలు:,Baalu:,बालु:,బాలు:
గోపి!,Gopi!,गोपी!,గోపి!
లోపలికి రా!,Come inside!,अंदर आओ।,లోపలికి రా!
ఈ ఉత్తరం మీద హరి అడ్రసు రాయి.,Write Hari's address on this letter.,इस पत्र पर हरि का पता लिखो।,ఈ ఉత్తరం మీద హరి అడ్రసు రాయి.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
హరి అడ్రసు డైరీ లో ఉంది.,Hari's address is in the diary.,हरि का पता डायरी में है।,హరి అడ్రసు డైరీ లో ఉంది.
వెతుకు.,Search.,ढूंढो।,వెతుకు.
,,,
బాలు:,Baalu:,बालु:,బాలు:
ఇందులో ఎక్కడా లేదు.,It is no where in this (diary).,इस में कहीं नहीं है।,ఇందులో ఎక్కడా లేదు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
ఇంకొక సారి వెతుకు.,Search one more time.,और एक बार ढूंढो।,ఇంకొక సారి వెతుకు.
ఎందులో చూస్తున్నావు?,In which are you looking?,किस में देख रहे हो?,ఎందులో చూస్తున్నావు?
అది పాత డైరీ!,That's the old diary!,वह पुरानी डायरी है!,అది పాత డైరీ!
,,,
రవి:,Ravi:,रवि:,రవి:
బైట ఎవరో తలుపు కొడ్తున్నారు.,Someone is knocking the door outside.,बाहर कोई दरवाज़ा खटखटा रहा है।,బైట ఎవరో తలుపు కొడ్తున్నారు.
తలుపు తియ్యి బాలూ!,Open the door Baalu!,दरवाज़ा खोलो बालु!,తలుపు తియ్యి బాలూ!
,,,
గోపి:,Gopi:,गोपी:,గోపి:
నేను తీస్తున్నాను.,I am opening (the door).,मैं खोल रहा हूँ।,నేను తీస్తున్నాను.
బైట ఎవరూ లేరు.,There is no one outside.,बाहर कोई नहीं है।,బైట ఎవరూ లేరు.
గాలికి తలుపులు చప్పుడు చేస్తున్నాయి.,The door is making noise (rattling) because of the wind.,हवा से दरवाज़े शोर कर रहे हैं।,గాలికి తలుపులు చప్పుడు చేస్తున్నాయి.
,,,
రవి:,Ravi:,रवि:,రవి:
సరే!,Okay!,ठीक है।,సరే!
ఆ కుర్చీని తలుపు దగ్గరికి నెట్టు.,Push that chair towards the door (close to the door).,उस कुर्सी को दरवाज़े तक धकेली।,ఆ కుర్చీని తలుపు దగ్గరికి నెట్టు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
నెడ్తున్నాను.,I am pushing it.,धकेल रहा हूँ।,నెడ్తున్నాను.
ఇందులో ఏవో కాయితాలున్నాయి.,There are some papers in this.,इस में कुछ कागज़ हैं।,ఇందులో ఏవో కాయితాలున్నాయి.
,,,
రవి:,Ravi:,रवि:,రవి:
వాటి మీద ఈ పుస్తకం పెట్టు.,Put this book on them.,उन पर यह किताब रखो।,వాటి మీద ఈ పుస్తకం పెట్టు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
పెడుతున్నాను.,I am keeping it.,रख रहा हूँ।,పెడుతున్నాను.
,,,
బాలు:,Baalu:,बालु:,బాలు:
గోపి!,Gopi!,गोपी!,గోపి!
మనం ఇప్పుడు ఈ పుస్తకాల కట్టలు రైలు స్టేషను కు తీసుకు పోవాలి కదా!,"We have to take these book bundles to railway station now, right?","हमें अभी ये किताबों के ढेर रेलवे स्टेशन ले जाने हैं, है ना?",మనం ఇప్పుడు ఈ పుస్తకాల కట్టలు రైలు స్టేషను కు తీసుకు పోవాలి కదా!
బయల్దేరు.,Start.,चलो।,బయల్దేరు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
పుస్తకాలు చాలా ఉన్నాయి.,There are a lot of books.,किताबें बहुत हैं।,పుస్తకాలు చాలా ఉన్నాయి.
,,,
బాలు:,Baalu:,बालु:,బాలు:
అవును.,Yes.,हाँ।,అవును.
