te,en,_hi,_te_TG
<h1>,,,<h1>
పాఠం 49:,Lesson 49:,पाठ 49:,పాఠం 49:
ఆమె వచ్చి ఉంటుంది,She would have come,वह आई होगी,ఆమె వచ్చి ఉంటుంది
,,,
లత:,Lata:,लता:,లత:
కమలా!,Kamala!,,కమలా!
ఇప్పుడు విమల నిద్రపోతూ ఉంటుందా?,Will Vimala be sleeping now?,,ఇప్పుడు విమల నిద్రపోతూ ఉంటుందా?
,,,
కమల:,Kamala:,,కమల:
నిద్రపోతూ ఉండదు.,She won't be sleeping.,,నిద్రపోతూ ఉండదు.
"రేపటినించి వాళ్ళకు పరీక్షలు, చదువుతూ ఉంటుంది.","From tomorrow, they have exams, she will be studying.",,"రేపటినించి వాళ్ళకు పరీక్షలు, చదువుతూ ఉంటుంది."
,,,
లత:,Latha:,,లత:
నేను విమలతో మాట్లాడాలి.,I have to talk to Vimala.,,నేను విమలతో మాట్లాడాలి.
వాళ్ళ చెల్లెలు గుంటూరు నించి ఇవ్వాళ వస్తానన్నది.,Her sister told that she will be coming today from Guntur.,,వాళ్ళ చెల్లెలు గుంటూరు నించి ఇవ్వాళ వస్తానన్నది.
వచ్చి ఉంటుందా?,Would she have come?,,వచ్చి ఉంటుందా?
,,,
కమల:,Kamala:,,కమల:
వచ్చి ఉండదు.,She would not have come.,,వచ్చి ఉండదు.
ఇవ్వాళ గుంటూరులో పాటకచేరి ఉన్నది.,"Today in Guntur, there is a music concert.",,ఇవ్వాళ గుంటూరులో పాటకచేరి ఉన్నది.
వాళ్ళ చెల్లెలికి సంగీతం అంటే యిష్టం.,Her sister likes music.,,వాళ్ళ చెల్లెలికి సంగీతం అంటే యిష్టం.
,,,
లత:,Latha:,,లత:
శాస్త్రీయ సంగీతం యిష్టమా?,Does she like classic music?,,శాస్త్రీయ సంగీతం యిష్టమా?
లలిత సంగీతం యిష్టమా?,Does she like light music?,,లలిత సంగీతం యిష్టమా?
,,,
కమల:,Kamala:,,రెండూ యిష్టమే!
రెండూ యిష్టమే!,She likes both.,,#REF!
శాస్త్రీయ సంగీతం బాగా యిష్టం.,She likes classical music a lot.,,శాస్త్రీయ సంగీతం బాగా యిష్టం.
,,,
లత:,Latha:,,లత:
ఆమె బాగా పాడుతుందా?,Does she sing well?,,ఆమె బాగా పాడుతుందా?
,,,
కమల:,Kamala:,,కమల:
వీణ బాగా వాయిస్తుంది.,She plays Veena well.,,వీణ బాగా వాయిస్తుంది.
విమల గూడా వీణ వాయిస్తుంది.,Vimala also plays veena.,,విమల గూడా వీణ వాయిస్తుంది.
